pc_time_s,time_s,roll_heading,roll_velocity,roll_accel_est,pid,ff,motor_cmd,p,i,d,ff_gain
1776020625.7554479,34.331,-122.393333,-0.004392,0.353659,0.043921,0.0,0.043921,0.0,0.0,10.0,0.0
1776020625.773434,34.351,-122.393852,-0.002275,0.40189,0.022751,0.0,0.022751,0.0,0.0,10.0,0.0
1776020625.7934377,34.371,-122.393402,-0.000873,0.211316,0.008733,0.0,0.008733,0.0,0.0,10.0,0.0
1776020625.814191,34.391,-122.38987,0.001201,-0.174555,-0.012012,0.0,-0.012012,0.0,0.0,10.0,0.0
1776020625.8333783,34.411,-122.390152,-0.000158,-0.007728,0.001575,0.0,0.001575,0.0,0.0,10.0,0.0
1776020625.853526,34.431,-122.394386,0.001613,-0.055043,-0.016134,0.0,-0.016134,0.0,0.0,10.0,0.0
1776020625.8733234,34.451,-122.397041,0.000338,0.132043,-0.003375,0.0,-0.003375,0.0,0.0,10.0,0.0
1776020625.8934927,34.471,-122.398216,0.00071,0.057926,-0.007102,0.0,-0.007102,0.0,0.0,10.0,0.0
1776020625.9133303,34.491,-122.398415,0.000451,-0.077228,-0.004508,0.0,-0.004508,0.0,0.0,10.0,0.0
1776020625.9342804,34.511,-122.399635,-0.000253,0.040121,0.002528,0.0,0.002528,0.0,0.0,10.0,0.0
1776020625.9534416,34.531,-122.402802,-0.000753,0.202712,0.00753,0.0,0.00753,0.0,0.0,10.0,0.0
1776020625.973932,34.551,-122.405235,-0.001376,0.239751,0.013758,0.0,0.013758,0.0,0.0,10.0,0.0
1776020625.9938433,34.571,-122.410767,0.000221,-0.099061,-0.002211,0.0,-0.002211,0.0,0.0,10.0,0.0
1776020626.0134666,34.591,-122.414581,-0.000925,0.165173,0.009251,0.0,0.009251,0.0,0.0,10.0,0.0
1776020626.0337048,34.611,-122.418556,0.0001,0.080588,-0.001003,0.0,-0.001003,0.0,0.0,10.0,0.0
1776020626.0535445,34.631,-122.417595,-0.00015,-0.017532,0.001495,0.0,0.001495,0.0,0.0,10.0,0.0
1776020626.0736134,34.651,-122.421082,-0.00093,0.237294,0.009299,0.0,0.009299,0.0,0.0,10.0,0.0
1776020626.0944028,34.671,-122.425697,-0.000139,0.138129,0.001391,0.0,0.001391,0.0,0.0,10.0,0.0
1776020626.1145804,34.691,-122.424072,-0.000655,0.285879,0.006546,0.0,0.006546,0.0,0.0,10.0,0.0
1776020626.1335328,34.711,-122.423294,-0.000313,0.153596,0.003129,0.0,0.003129,0.0,0.0,10.0,0.0
1776020626.153392,34.731,-122.426407,-0.000516,0.102505,0.005156,0.0,0.005156,0.0,0.0,10.0,0.0
1776020626.1735218,34.751,-122.430229,-0.000295,-0.074631,0.002949,0.0,0.002949,0.0,0.0,10.0,0.0
1776020626.193495,34.771,-122.430466,-0.000293,-0.014144,0.002933,0.0,0.002933,0.0,0.0,10.0,0.0
1776020626.213856,34.791,-122.430779,-0.00029,-0.005597,0.0029,0.0,0.0029,0.0,0.0,10.0,0.0
1776020626.2336493,34.811,-122.430206,-0.002013,0.417693,0.020131,0.0,0.020131,0.0,0.0,10.0,0.0
1776020626.2532616,34.831,-122.432182,-0.001021,0.448541,0.010211,0.0,0.010211,0.0,0.0,10.0,0.0
1776020626.274142,34.851,-122.433006,0.000261,0.097261,-0.002615,0.0,-0.002615,0.0,0.0,10.0,0.0
1776020626.2953472,34.871,-122.436241,-0.001186,0.31568,0.011863,0.0,0.011863,0.0,0.0,10.0,0.0
1776020626.3138719,34.891,-122.437881,-0.000274,0.174669,0.002743,0.0,0.002743,0.0,0.0,10.0,0.0
1776020626.3337436,34.911,-122.440041,-0.00054,0.25548,0.005396,0.0,0.005396,0.0,0.0,10.0,0.0
1776020626.3537755,34.931,-122.442406,-0.000291,0.10939,0.00291,0.0,0.00291,0.0,0.0,10.0,0.0
1776020626.3737226,34.951,-122.446724,0.000417,-0.117426,-0.004166,0.0,-0.004166,0.0,0.0,10.0,0.0
1776020626.393543,34.971,-122.449272,-0.000143,-0.085827,0.001432,0.0,0.001432,0.0,0.0,10.0,0.0
1776020626.4132986,34.991,-122.450584,-0.001095,0.185454,0.010951,0.0,0.010951,0.0,0.0,10.0,0.0
1776020626.4344594,35.011,-122.448265,-0.000515,0.078629,0.005153,0.0,0.005153,0.0,0.0,10.0,0.0
